date,county,fips,re_mean,re_CI95l,re_CI95u
2020-04-27,Orange County,6059,0.938868490847514,0.6922347120794264,1.2579922437845112
2020-04-28,Orange County,6059,0.9385761691460911,0.6921432530580246,1.257402374951307
2020-04-29,Orange County,6059,0.9382838474446683,0.6920517940366229,1.256812506118103
2020-04-30,Orange County,6059,0.9466833265729002,0.7192808884053912,1.2342701581767872
2020-05-01,Orange County,6059,0.9550828057011322,0.7465099827741594,1.2117278102354712
2020-05-02,Orange County,6059,0.9634822848293642,0.7737390771429277,1.1891854622941553
2020-05-03,Orange County,6059,0.9631611687621298,0.7736076404274507,1.1887065423031313
2020-05-04,Orange County,6059,0.9628400526948955,0.7734762037119737,1.1882276223121075
2020-05-05,Orange County,6059,0.9625189366276611,0.7733447669964967,1.1877487023210835
2020-05-06,Orange County,6059,0.9622153919071118,0.7731787263840454,1.1873660514798001
2020-05-07,Orange County,6059,0.9619118471865625,0.7730126857715942,1.186983400638517
2020-05-08,Orange County,6059,0.9616083024660133,0.7728466451591429,1.1866007497972335
2020-05-09,Orange County,6059,0.9612433364160886,0.7726636453239409,1.1860763670373766
2020-05-10,Orange County,6059,0.960878370366164,0.772480645488739,1.18555198427752
2020-05-11,Orange County,6059,0.9605134043162393,0.772297645653537,1.185027601517663
2020-05-12,Orange County,6059,0.9601148370090132,0.7721572735415065,1.184592362339921
2020-05-13,Orange County,6059,0.959716269701787,0.7720169014294762,1.1841571231621792
2020-05-14,Orange County,6059,0.9593177023945609,0.7718765293174458,1.1837218839844372
2020-05-15,Orange County,6059,1.137710284480354,0.880444319991124,1.4391967158800656
2020-05-16,Orange County,6059,1.316102866566147,0.9890121106648022,1.694671547775694
2020-05-17,Orange County,6059,1.3150729377986015,0.9885463570776523,1.6930203940577309
2020-05-18,Orange County,6059,1.3140430090310558,0.9880806034905023,1.6913692403397675
2020-05-19,Orange County,6059,1.3130130802635103,0.9876148499033524,1.6897180866218044
2020-05-20,Orange County,6059,1.3120718927430837,0.9871304466511288,1.6882890371673187
2020-05-21,Orange County,6059,1.3111307052226568,0.9866460433989054,1.6868599877128332
2020-05-22,Orange County,6059,1.3101895177022302,0.9861616401466818,1.6854309382583474
2020-05-23,Orange County,6059,1.3092171725568822,0.9856213440935351,1.6841595808401977
2020-05-24,Orange County,6059,1.308244827411534,0.9850810480403882,1.682888223422048
2020-05-25,Orange County,6059,1.3072724822661859,0.9845407519872414,1.6816168660038981
2020-05-26,Orange County,6059,1.306389769392448,0.9840940065938091,1.67983487610249
2020-05-27,Orange County,6059,1.3055070565187104,0.9836472612003767,1.6780528862010815
2020-05-28,Orange County,6059,1.3046243436449725,0.9832005158069443,1.6762708962996733
2020-05-29,Orange County,6059,1.3036344565570899,0.9826764222916987,1.674922353024383
2020-05-30,Orange County,6059,1.3026445694692075,0.9821523287764531,1.6735738097490929
2020-05-31,Orange County,6059,1.3016546823813249,0.9816282352612075,1.6722252664738027
2020-06-01,Orange County,6059,1.3005811322889391,0.9811655652701907,1.6706789342469544
2020-06-02,Orange County,6059,1.2995075821965536,0.9807028952791741,1.6691326020201058
2020-06-03,Orange County,6059,1.2984340321041679,0.9802402252881574,1.6675862697932575
2020-06-04,Orange County,6059,1.3413259884269497,1.0498239058012313,1.7123939568302504
2020-06-05,Orange County,6059,1.3842179447497318,1.1194075863143054,1.7572016438672433
2020-06-06,Orange County,6059,1.4271099010725137,1.1889912668273794,1.8020093309042362
2020-06-07,Orange County,6059,1.42606679883072,1.188208795502658,1.8006255634076764
2020-06-08,Orange County,6059,1.4250236965889262,1.1874263241779361,1.7992417959111167
